회사명,감리대상연도,조치일,상장여부,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
(주)나노트로닉스,2008~2013.6.30.,2016-02-24,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)나인테크,2016~2017.9.30.,2019-06-19,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)누리플랜,2009~2016,2017-11-15,코스닥시장,0,0,0,1,1,1,1,1,1,1,1,0
(주)뉴아세아조인트,2008~1012,2018-02-07,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)대아상호저축은행,2012.6.30.,2016-12-07,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)대호에이엘,2012~2014.3.31.,2018-09-05,유가증권시장,0,0,0,0,0,1,1,1,0,0,0,0
(주)도암엔지니어링,2016~2017,2020-07-01,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)동림,2014~2016,2019-02-13,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)디알비동일,2015~2016,2019-01-09,유가증권시장,0,0,0,1,1,0,0,0,0,0,0,0
(주)디오,2012~2016,2017-06-07,코스닥시장,0,0,0,1,1,1,1,1,0,0,0,0
(주)디지털대성,2014.12.31.~2016.3.31.,2016-10-12,코스닥시장,0,0,0,1,1,1,0,0,0,0,0,0
(주)로켓모바일,2011~2013.9.30,2016-06-15,코스닥시장,0,0,0,0,0,0,1,1,1,0,0,0
(주)리젠,2014.12.31.~2016.6.30.,2016-12-07,코스닥시장,0,0,0,1,1,1,0,0,0,0,0,0
(주)마제스타,2012~2017.1분기,2017-11-15,코스닥시장,0,0,1,1,1,1,1,1,0,0,0,0
(주)매일방송,2011~2016,2019-10-30,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)메지온,2014,2019-05-22,코스닥시장,0,0,0,0,0,1,0,0,0,0,0,0
(주)모뉴엘,2008~2013,2016-06-15,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)민앤지,2016~2017반기,2018-04-11,코스닥시장,0,0,1,1,0,0,0,0,0,0,0,0
(주)바른손,2016.4.1.~2017.6.31.,2018-08-22,코스닥시장,0,0,1,1,0,0,0,0,0,0,0,0
(주)바른테크놀로지,2011~2017.9.,2018-10-17,코스닥시장,0,0,1,1,1,1,1,1,1,0,0,0
(주)바이오니아,2013~2015.9.30.,2016-03-09,코스닥시장,0,0,0,0,1,1,1,0,0,0,0,0
(주)부국엔지니어링,2011~2012년,2016-02-03,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)삼일,"2012년,2014~2015년",2017-07-19,코스닥시장,0,0,0,0,1,1,0,1,0,0,0,0
(주)상보,2011~2017.9.30.,2018-09-19,코스닥시장,0,0,1,1,1,1,1,1,1,0,0,0
(주)서연,2009년~2012년,2017-07-19,유가증권시장,0,0,0,0,0,0,0,1,1,1,1,0
(주)서울상호저축은행,2011.7.1.~2012.6.30.,2016-05-18,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)서희건설,2009~2017.1분기,2017-11-15,코스닥시장,0,0,1,1,1,1,1,1,1,1,1,0
(주)성욱,2014~2017,2019-07-17,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)세원,2014~2015,2019-02-13,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)셀루메드,2015~2017,2019-11-13,코스닥시장,0,0,1,1,1,0,0,0,0,0,0,0
(주)스튜디오썸머(舊 (주)행남사),2016~2017.9.30.,2019-07-03,코스닥시장,0,0,1,1,0,0,0,0,0,0,0,0
(주)시노펙스,2016~2017,2019-09-04,코스닥시장,0,0,1,1,0,0,0,0,0,0,0,0
(주)신한,2008~2013,2018-01-24,유가증권시장,0,0,0,0,0,0,1,1,1,1,1,1
(주)씨아이테크,2014~2016.6.30.,2016-11-09,유가증권시장,0,0,0,1,1,1,0,0,0,0,0,0
(주)씨에스,2014,2017-02-15,코스닥시장,0,0,0,0,0,1,0,0,0,0,0,0
(주)씨에스마린,2009~2012년,2016-02-03,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)씨에스에이코스믹,2013,2019-02-13,코스닥시장,0,0,0,0,0,0,1,0,0,0,0,0
(주)씨에스에이코스믹,2018.6.30.,2019-10-30,코스닥시장,0,1,0,0,0,0,0,0,0,0,0,0
(주)아난티,2010~2015,2019-12-09,코스닥시장,0,0,0,0,1,1,1,1,1,1,0,0
(주)아이피몬스터,2017,2019-09-25,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)에스에프씨,2016~2018.9.30.,2020-03-11,코스닥시장,0,1,1,1,0,0,0,0,0,0,0,0
(주)에스엔드케이월드코리아,2009~2014,2020-02-26,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)에스엘에스바이오,2016,2019-11-13,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)에스엠코어,2016.3.31.,2017-09-13,코스닥시장,0,0,0,1,0,0,0,0,0,0,0,0
(주)에스제이엠,2012~2016.9.30.,2019-03-13,유가증권시장,0,0,0,1,1,1,1,1,0,0,0,0
(주)에스제이엠홀딩스,2012~2016.9.30.,2019-03-13,유가증권시장,0,0,0,1,1,1,1,1,0,0,0,0
(주)에스제이케이,2013~2014,2020-02-12,코스닥시장,0,0,0,0,0,1,1,0,0,0,0,0
(주)에이모션,2013.12.31.~2014.3.31.,2016-12-07,코스닥시장,0,0,0,0,0,1,1,0,0,0,0,0
(주)에이비비코리아,2011~2016,2019-02-27,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)엘아이에스,2012~2015,2018-05-09,코스닥시장,0,0,0,0,1,1,1,1,0,0,0,0
(주)엘앤에프,2011~2015.9.30,2016-12-21,코스닥시장,0,0,0,0,1,1,1,1,1,0,0,0
(주)엘엠에스,2011~2016,2020-01-08,코스닥시장,0,0,0,1,1,1,1,1,1,0,0,0
(주)엠제이비,2014,2017-02-15,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)엠젠플러스,2011~2017,2019-12-09,코스닥시장,0,0,1,1,1,1,1,1,1,0,0,0
(주)오리엔탈정공,2015~2016.9.30.,2018-04-25,코스닥시장,0,0,0,1,1,0,0,0,0,0,0,0
(주)와이오엠,2014.6.30.~2016,2018-01-10,코스닥시장,0,0,0,1,1,1,0,0,0,0,0,0
(주)우리기술,2015~2016,2019-06-19,코스닥시장,0,0,0,1,1,0,0,0,0,0,0,0
(주)웅진,2013~2017,2018-09-19,유가증권시장,0,0,1,1,1,1,1,0,0,0,0,0
(주)위닉스,2016~2017.9.30.,2019-07-17,코스닥시장,0,0,1,1,0,0,0,0,0,0,0,0
(주)유아이헬리콥터,2015,2018-03-28,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)이노와이즈,"2016, 2017",2020-05-06,코스닥시장,0,0,1,1,0,0,0,0,0,0,0,0
(주)이앤코리아,2017,2020-09-16,기타,0,0,0,0,0,0,0,0,0,0,0,0
